?????	???????	?????	???	????????	??????
1.0	0.2	1.0	0.5	0.5	1.0
28,544.6	117,167.7	112,046.2	42.8	7.7	1.0
5,934.1	50,863.3	119,660.6	45.8	9.1	0.9
28,279.0	122,484.5	136,138.7	33.0	8.0	1.0
5,938.3	136,880.3	202,379.5	30.7	9.7	0.9
5,487.1	89,296.4	112,788.2	36.3	7.6	0.8
8,203.0	79,637.7	198,911.9	37.4	7.0	0.8
19,550.9	105,555.3	123,821.4	39.7	7.6	0.9
9,006.3	98,097.9	146,116.7	43.5	9.0	0.9
22,111.5	97,971.5	119,649.0	45.1	8.2	0.8
21,979.0	65,204.4	166,397.6	38.4	8.3	0.8
22,866.6	118,678.0	161,288.9	49.0	8.9	0.9
15,418.8	81,835.2	210,503.1	39.0	9.3	0.8
26,181.9	98,623.2	247,340.4	46.4	8.0	0.9
17,113.2	92,134.9	118,164.4	30.4	6.5	1.0
21,051.4	103,012.8	117,197.9	35.1	6.5	0.8
17,619.2	96,382.4	114,245.4	34.8	9.0	1.0
23,763.4	135,896.2	238,861.2	36.6	9.2	0.9
16,912.2	92,580.1	232,980.8	31.4	7.3	0.8
6,523.1	107,218.1	219,707.5	34.9	9.4	0.8
10,542.9	123,329.7	135,861.8	30.1	8.1	0.8
17,576.3	67,824.5	111,057.7	41.1	9.9	1.0
24,323.3	77,664.0	121,560.4	41.6	8.8	0.8
24,961.1	102,932.6	217,434.9	38.8	6.1	0.9
15,109.9	142,738.8	111,851.8	49.3	6.4	0.9
27,446.6	59,553.0	199,704.9	38.8	8.0	0.8
17,207.3	97,991.6	159,509.0	34.5	8.8	0.7
18,150.8	70,345.7	232,109.2	31.7	8.1	0.9
14,570.4	143,984.8	175,481.8	39.7	7.7	0.8
22,646.3	141,379.9	129,451.7	32.9	7.6	1.0
25,541.0	95,195.5	156,157.5	40.2	8.6	0.8
19,490.1	82,603.9	222,129.5	47.9	6.5	1.0
14,036.0	55,417.5	196,459.3	45.0	8.1	0.8
6,934.1	127,556.2	142,883.1	34.7	7.4	0.8
18,050.3	147,779.1	169,540.3	34.7	8.1	0.8
9,638.2	115,193.7	239,346.5	33.3	9.9	0.8
13,770.7	119,484.9	126,196.0	48.4	8.2	1.0
18,599.6	131,999.3	209,092.0	45.9	8.9	0.7
26,844.3	146,932.1	231,514.9	37.5	6.6	0.7
11,446.1	61,562.3	209,465.8	40.1	9.6	1.0
24,410.7	95,512.5	100,192.1	41.6	9.7	0.7
5,963.6	140,323.2	194,371.5	33.1	8.9	0.8
26,894.2	60,693.6	192,932.7	49.6	6.8	0.8
21,566.4	141,693.0	190,131.6	36.9	7.2	0.7
7,525.1	121,914.3	131,438.2	38.8	9.5	0.9
11,650.5	103,838.3	122,195.4	45.2	7.8	1.0
28,567.6	63,327.1	178,648.6	43.1	7.0	0.9
9,831.9	51,761.5	186,511.4	30.5	7.2	0.8
28,388.1	102,383.3	191,014.1	37.0	6.3	0.9
8,025.0	115,616.2	189,035.3	39.6	7.9	0.9
21,004.6	67,082.6	153,893.4	33.9	6.3	0.9
8,931.8	56,067.9	123,753.4	48.9	7.3	0.9
13,238.8	80,918.4	190,814.3	41.3	7.1	0.9
6,896.6	86,460.0	117,329.9	34.3	6.3	0.8
6,413.8	89,898.9	216,408.6	33.8	6.9	0.9
14,059.3	141,399.6	217,456.9	38.0	9.3	0.9
16,577.8	109,734.9	227,835.0	43.8	6.0	0.9
15,414.7	120,975.5	161,903.5	31.6	7.7	1.0
9,451.8	99,236.6	137,269.4	42.7	8.3	0.8
14,215.1	61,263.1	182,144.6	36.6	7.7	0.9
27,057.3	80,821.1	152,631.2	39.2	8.1	0.8
14,756.9	88,756.9	158,222.7	42.6	7.6	0.7
6,032.8	109,862.9	240,683.1	42.1	7.9	0.9
18,275.4	95,416.2	196,675.3	36.5	8.2	1.0
10,610.0	53,220.8	150,104.4	35.5	9.3	0.8
29,644.7	58,703.8	217,188.0	42.7	6.8	0.7
19,349.3	116,095.0	221,494.7	34.7	8.0	0.9
29,363.6	55,930.7	233,281.2	30.5	9.5	0.7
7,885.1	83,305.7	165,448.2	32.0	9.9	0.8
23,539.3	137,272.8	115,232.3	45.3	9.6	0.8
13,069.0	128,062.9	176,396.9	41.3	7.0	0.8
