?????	???????	?????	???	????????	??????
1.0	0.2	1.0	0.5	0.5	1.0
4,770.5	36,535.5	86,797.4	25.6	10.0	0.3
3,346.9	23,332.1	92,135.7	36.7	5.0	0.6
5,383.3	57,352.6	85,930.3	29.8	5.4	1.1
5,833.7	57,727.1	112,960.1	50.5	8.1	0.6
6,467.7	59,349.0	110,095.8	22.5	7.9	0.7
3,251.5	45,425.2	109,576.4	25.1	5.7	0.9
3,792.3	47,597.0	103,483.0	46.5	6.0	1.2
5,516.8	39,245.9	146,531.6	33.3	6.2	0.3
3,830.4	66,394.8	-3,656.1	39.0	5.2	0.3
5,049.1	42,517.1	121,206.2	39.0	5.7	0.4
5,308.2	17,035.6	57,753.0	25.5	5.7	0.8
5,325.4	63,577.0	66,201.0	22.8	7.0	0.6
4,683.6	34,124.3	98,862.7	22.6	5.9	0.9
6,442.9	65,264.9	76,147.5	23.3	4.5	0.8
4,963.5	36,721.6	88,997.3	30.6	5.2	0.4
6,206.7	51,145.6	107,153.8	28.1	6.8	0.2
6,032.3	38,419.3	78,464.5	14.9	8.6	0.7
5,961.7	32,302.4	148,353.1	22.4	4.9	0.3
5,907.8	34,049.1	129,262.9	22.2	4.3	0.9
6,023.6	41,803.6	113,330.4	32.3	4.7	0.7
3,236.1	32,851.3	98,311.2	51.3	2.6	0.7
8,047.2	58,084.3	81,541.6	24.7	4.4	0.4
4,532.2	54,399.1	97,163.6	21.9	3.5	0.5
5,201.7	39,013.3	131,883.8	6.7	3.9	1.1
3,472.5	49,874.0	35,862.3	40.3	6.7	0.8
4,975.1	35,144.7	61,736.4	32.3	7.0	0.5
3,830.2	43,814.0	87,856.2	13.9	5.4	0.4
7,115.9	49,635.0	146,356.2	36.2	6.7	0.6
2,328.1	49,598.3	78,046.5	18.4	7.7	0.9
5,432.6	76,315.7	113,087.1	15.4	8.8	1.2
4,957.2	49,641.7	129,807.2	13.5	2.2	0.3
2,219.1	48,498.3	119,435.1	36.0	8.1	0.7
7,932.8	71,293.3	126,389.0	40.9	5.8	0.4
4,053.9	76,634.7	107,324.8	32.5	5.5	0.0
5,969.3	39,420.4	84,631.8	27.7	6.3	0.6
4,533.8	50,569.6	184,334.1	31.0	4.6	0.6
4,875.5	57,560.7	164,405.2	28.6	4.2	1.4
3,453.0	78,126.6	110,749.8	20.5	4.0	0.6
2,601.5	40,503.7	89,466.6	47.4	6.5	0.6
6,769.1	50,939.1	57,722.8	17.1	1.8	0.4
6,131.7	71,637.1	86,303.1	7.0	6.9	0.7
7,019.0	23,651.0	163,600.1	25.0	7.3	0.7
3,534.0	26,309.4	54,563.1	32.0	5.7	0.7
3,404.1	77,274.3	109,909.5	32.7	6.1	1.1
4,190.3	40,007.6	88,565.1	25.9	5.5	0.3
7,064.8	37,615.3	50,107.8	18.4	7.0	0.7
7,141.3	65,354.2	89,941.0	24.0	1.7	0.8
6,334.1	58,697.7	143,918.6	12.9	7.3	1.0
4,485.5	38,008.3	67,352.5	31.8	6.8	0.5
8,313.5	34,830.1	149,113.5	21.4	6.9	0.7
4,133.6	56,984.5	152,037.7	26.2	6.0	0.6
5,345.7	68,645.4	103,491.5	24.3	8.5	0.7
8,000.7	51,076.3	78,334.2	35.9	8.0	0.6
5,624.5	48,500.2	46,023.1	28.1	7.9	0.5
7,591.8	46,312.6	76,919.0	3.6	6.1	0.8
4,042.1	47,147.3	17,511.7	29.9	6.3	0.7
1,135.9	41,158.0	184,817.5	21.7	5.9	0.5
4,648.5	64,661.6	101,837.1	25.4	6.2	1.1
3,785.1	44,932.6	142,222.8	20.1	6.6	1.1
7,101.2	10,220.9	106,803.5	24.2	7.3	0.3
3,763.6	55,627.0	73,432.4	33.0	5.5	0.4
3,459.3	52,845.1	69,262.4	20.3	6.9	0.6
4,301.2	45,648.2	48,822.5	39.9	8.6	0.8
5,160.7	56,221.9	37,326.0	11.0	7.6	0.6
5,638.6	63,365.8	72,703.3	52.8	7.6	0.6
4,140.1	81,246.3	112,296.9	22.2	7.0	1.3
3,248.1	48,102.6	75,846.1	30.7	8.9	1.3
4,032.3	54,401.1	108,067.8	29.3	2.4	0.7
1,416.3	63,844.7	143,544.5	11.1	7.9	0.9
1,883.3	43,090.2	104,887.2	37.5	6.9	0.4
4,422.4	46,146.0	82,262.1	22.4	4.3	0.7
3,077.9	70,339.9	91,423.1	39.1	3.0	0.7
3,469.5	56,454.3	79,564.0	31.1	6.0	0.4
5,740.7	40,744.3	166,822.8	62.2	7.1	0.9
4,308.4	39,990.6	115,124.0	25.4	6.4	0.7
756.9	46,035.7	131,721.6	47.5	6.7	0.9
4,678.0	29,194.3	82,789.0	33.9	5.3	0.7
3,252.9	73,926.0	162,736.6	21.6	5.8	0.7
3,235.2	39,929.9	75,394.0	24.4	6.4	0.2
5,359.6	30,669.7	149,284.4	34.0	8.3	0.9
5,125.5	32,802.3	98,893.3	26.9	5.6	0.3
4,922.9	47,718.6	119,653.5	34.9	7.7	1.0
5,184.8	26,996.4	32,408.4	20.9	2.5	0.7
3,143.8	39,666.4	97,875.8	48.2	4.9	0.8
4,629.9	23,425.4	111,047.2	25.6	6.4	1.0
2,359.1	49,487.2	98,923.9	35.3	10.4	0.5
2,832.4	56,922.4	32,869.5	38.2	8.2	0.6
3,479.9	43,470.7	60,116.4	30.0	5.4	0.5
3,365.7	64,346.8	128,442.0	24.7	9.6	0.6
2,398.9	30,080.1	77,424.4	27.7	7.9	0.6
1,616.1	49,430.2	60,015.2	37.6	6.6	0.8
4,164.9	49,744.3	94,977.6	31.4	4.4	0.7
4,327.2	59,477.5	74,172.4	6.3	8.1	0.5
4,683.1	60,349.8	163,515.2	32.1	2.6	0.7
3,461.7	55,736.4	75,424.5	30.0	5.0	0.5
3,823.2	64,937.1	83,397.6	38.1	5.0	0.6
6,684.1	40,439.1	69,270.0	33.4	3.2	0.6
