?????	???????	?????             ???	????????	??????
1.0	0.2	1.0	0.5	0.5	1.0
31,110.5	139,182.8	327,939.7	44.3	9.6	1.1
31,595.6	189,071.0	201,213.8	53.5	10.5	0.8
19,434.8	193,179.2	268,988.6	56.4	10.3	1.0
33,357.3	148,360.1	304,233.3	45.5	12.5	1.0
30,248.5	135,607.0	308,227.6	51.1	11.7	1.1
30,142.2	130,678.2	178,741.2	47.3	8.6	1.0
25,878.2	128,928.6	261,027.8	59.3	8.8	0.9
35,508.9	149,722.3	241,599.1	60.3	9.1	1.0
29,707.4	147,106.1	230,322.6	46.1	9.9	1.0
30,086.8	177,825.2	312,970.8	43.0	10.0	1.1
29,176.7	154,706.4	280,285.9	46.6	10.7	1.0
24,786.2	138,243.5	249,212.1	47.8	8.9	1.1
43,294.8	142,521.4	236,761.6	48.9	10.8	1.0
30,468.9	131,691.3	200,991.2	65.2	10.0	1.2
27,990.4	156,262.2	245,868.2	51.2	12.0	1.0
29,016.0	167,932.7	317,824.0	49.0	8.9	1.1
20,135.4	162,641.4	272,633.3	49.4	9.4	0.9
31,476.1	151,595.6	276,630.8	47.1	9.6	1.0
41,150.1	191,919.7	158,058.1	46.7	10.3	1.1
26,787.7	166,177.9	235,011.2	35.4	9.5	1.0
23,510.4	150,939.2	262,541.2	37.2	10.2	0.9
19,877.7	151,020.9	217,496.5	45.9	10.2	1.1
20,374.1	145,592.2	236,757.5	63.8	8.9	0.9
33,647.0	133,272.3	236,577.4	52.0	9.8	0.8
32,925.9	127,602.0	272,746.1	56.8	9.9	1.0
22,430.6	181,953.9	163,190.9	46.1	11.1	1.2
29,285.9	159,737.8	268,720.0	58.2	9.6	1.0
34,441.7	154,754.7	238,357.3	59.9	10.0	1.0
32,617.3	156,529.1	283,802.5	39.3	9.2	1.1
26,893.0	143,496.7	218,585.2	28.2	10.1	1.1
25,551.6	132,577.8	218,180.4	47.2	8.2	1.0
29,325.5	147,993.3	256,194.1	46.8	8.2	0.9
27,223.8	159,337.3	168,379.9	46.6	9.4	1.0
27,634.6	142,469.2	312,617.8	51.2	10.2	1.0
28,770.8	82,477.8	207,331.7	54.0	10.1	1.1
35,201.9	154,076.4	292,657.7	43.9	10.8	1.0
36,284.8	145,692.5	252,150.3	45.0	10.1	1.1
24,289.0	123,347.2	216,298.7	54.1	11.1	1.0
31,640.4	101,247.2	266,755.5	51.5	8.1	1.0
23,119.8	141,898.8	359,210.5	44.4	10.9	1.0
36,407.1	157,054.7	192,005.4	60.6	10.1	1.0
24,657.8	162,516.7	310,519.1	40.6	10.3	1.0
37,663.8	128,744.5	328,907.5	47.0	10.0	1.1
33,983.3	136,966.7	296,796.9	43.0	9.0	1.0
33,212.4	122,464.4	249,240.4	60.0	7.7	0.9
24,483.9	169,312.4	254,400.6	49.7	11.0	0.9
25,389.8	110,376.1	212,787.1	46.2	10.6	0.8
33,467.2	141,679.0	272,726.1	52.4	9.1	0.8
25,884.7	167,428.6	225,424.6	52.7	8.3	1.0
42,153.5	161,737.0	246,895.9	52.3	11.3	1.0
29,184.8	140,730.0	161,533.8	70.4	9.9	1.2
27,566.1	162,728.5	242,069.9	44.7	9.2	1.1
22,166.8	161,287.8	279,320.2	47.0	10.6	1.0
29,597.9	150,975.0	288,721.3	49.7	9.0	0.9
31,961.2	162,634.8	217,194.4	35.7	9.0	1.0
29,177.9	145,003.2	338,045.6	46.7	9.4	1.0
24,954.4	165,254.8	202,337.7	44.1	9.8	0.9
32,908.5	118,351.1	200,029.6	33.1	8.9	1.0
30,083.8	161,091.0	254,357.9	40.6	9.4	0.9
33,869.4	145,829.0	235,004.3	45.1	10.2	0.9
30,102.2	121,288.8	296,322.6	41.5	9.7	1.1
35,086.3	142,710.8	251,361.6	53.3	10.8	1.0
28,732.0	153,439.5	235,844.3	51.6	9.0	1.0
22,410.6	119,108.6	263,753.1	48.7	9.9	1.0
27,587.8	165,386.7	166,745.1	57.3	9.9	1.2
30,536.8	100,538.2	186,891.4	40.7	10.2	1.0
30,168.6	153,307.5	254,034.1	49.0	12.2	0.9
24,423.8	182,251.6	298,815.9	52.0	8.8	0.9
21,887.2	149,808.1	227,761.7	48.9	8.6	1.0
24,570.0	155,678.1	327,065.4	58.0	9.5	1.1
28,151.5	131,286.0	275,135.2	50.2	10.9	1.0
25,053.7	138,508.9	348,014.6	54.9	8.9	0.9
26,938.5	169,736.5	172,032.4	52.2	10.1	1.0
33,341.3	120,768.0	220,235.6	38.8	8.9	1.0
25,292.7	181,936.8	239,597.9	31.2	11.2	0.9
32,328.4	135,520.3	239,664.2	47.1	11.1	1.1
33,903.2	180,600.0	266,003.7	53.2	10.4	0.9
31,481.9	124,656.1	229,712.4	42.9	10.8	0.9
31,011.1	160,978.2	256,939.1	39.3	9.4	1.2
35,047.1	111,195.4	288,653.8	56.3	10.6	1.0
37,665.8	182,074.5	280,585.9	55.5	9.4	1.0
25,566.7	152,256.4	297,767.2	49.0	10.1	1.1
26,603.3	173,439.8	231,925.8	35.6	9.9	0.8
35,481.4	101,533.8	251,673.3	41.0	11.6	1.1
37,835.3	207,292.3	288,351.1	55.8	10.5	1.1
26,890.8	144,688.9	298,794.2	42.4	10.7	1.0
30,921.4	158,113.1	238,664.0	58.2	11.2	1.0
24,632.4	140,827.4	336,360.3	45.4	10.2	1.0
31,393.2	186,982.4	328,130.3	50.2	11.3	1.0
34,880.1	177,333.3	205,933.3	45.0	11.2	1.0
29,298.6	134,617.6	327,429.7	51.0	10.1	1.0
32,129.0	180,310.2	262,557.0	41.8	11.2	1.0
31,117.4	160,966.3	276,135.6	47.1	10.0	1.0
48,172.3	164,713.3	204,781.7	54.2	8.7	0.9
29,708.3	140,495.3	363,697.4	55.7	10.2	1.0
32,151.8	150,421.5	204,393.0	57.2	10.4	0.9
37,746.5	109,355.9	321,944.7	45.3	11.0	1.1
35,975.5	173,489.8	225,621.4	55.8	9.5	0.9
31,900.4	146,021.6	307,169.7	39.8	9.7	1.0
18,135.4	187,147.3	230,579.2	53.4	11.2	0.9
